;Are you new to OK Go? almost all of them are ADs for something. For example, Needing/Getting is for Chevy, Last Leaf is for Samsung, Back from Kathmandu is for Jaguar Land Rover, I Won't Let You Down was for Honda (sort of), Inside Down and Upside Out was for S7 Airlines, and The One Moment was for Morton Salt. These aren't uncommon and I'm sure there's more.;;
;I thought they had run out of ideas...I was wrong;;
;"GotWub 
When you think they run put of ideas, that gives them sustenance to keep going. It's their fuel.";;
;where can i buy a printer like that?;;
;"Sword1214 
From okgo";;
;Gilaaaaaaaaa;;
;ive been watching them since their fucking treadmill video in 2005 and EVERY TIME im like huh new video ? cant be better than the last one and EVERY TIME im so so wrong;;
;Damn.... they just cleaned up too...;;
;____ ___ __ _______,________;;
;This generation I_s fucking weird;;
;"I speak for many IT Guys who deal with printers that will also say, ""I'm waiting on the BTS video. There is no way this was done by any conventional means of printing.""";;
;This is freaking insane!! AWESOME JOB ______;;
;video 10     voice 1;;
;Watch my video on my channel it’s hilarious _;;
;What a waste of paper. Starving kids in Africa could've eaten that;;
;01:19;;
;Getting some Apunk vibes;;
;Best song ever parody: youtube.com/watch?v=lbiTVDOUo2s;;
;Epic! Love you guys<3;;
;Yaaaay New OK GO music!!! Hyped!!!;;
;"Oh nice 
Guys please Fallow me I'm Iranian";;
;RIP Ink cartridges 2017 but it's still so AMAZING to watch :O;;
;Man, the people who set up these things must be technical geniuses. I can barely get my single printer to work properly.;;
;I hope the recycled that;;
;"Solar Power Bank Solar Panel Portable Charger 
External Battery Universal Powerbank 
 _ For iPhone _
_50% OFF FOR A LIMITED TIME ONLY!_
GET YOURS HERE_https://goo.gl/psYZCU
_Tag a friend who needs this!_";;
;WOW. Just WOW.;;
;THEY DID IT AGAIN!;;
;Cenk uygur denies the armenian genocide;;
;GoFundMe: Inner-City School Transportation   PLEASE SUPPORT!!!!!!!;;
;GoFundMe: Inner-City School Transportation   PLEASE SUPPORT!!!!!!!;;
;GoFundMe: Inner-City School Transportation   PLEASE SUPPORT!!!!!!!;;
;GoFundMe: Inner-City School Transportation   PLEASE SUPPORT!!!!!!!;;
;PC load letter?! Wtf does that mean?;;
;Anybody have a tab for that sick ass guitar riff?;;
;This is so satisfying to watch;;
;mariel ivana Yayy 420 likes _;;
;Fucking gutless music, stop using your guitars like collars, play the damn thing!!!!;;
;http://salarydaily.com/?cash=101563;;
;Now this is a Paper Jam!;;
;I mean my printer doesn’t work half the time;;
;Wat;;
;Come thru and click or copy and paste my link http://JobisMust.com/?refcode=4377;;
;_____ ____, ____ __ _______;;
;____, ____ __ _______;;
;Come thru and click my link http://JobisMust.com/?refcode=4377;;
;I need one of those printers!!. Awesome colors, awesome song and video!!!!;;
;awesome mv, awesome waste;;
;Dunder Mifflin would be proud;;
;Who are they?;;
;"This video used about 567 printers, it's incredible! In the visual part of the video above all praise, however, as always. The only question that interests viewers is whether the paper was recycled.
Sorry for my English)";;
;Good video, but bad song.;;
;"0:40 
MORE COWBELL!";;
;https://fakegirlxx.blogspot.com;;
;____ __ ___ _____ ___ _______ __________ _____ _________ ________ _________! ____ ____ _____ _____ __ ______ _______.!!!;;
;Just have a ask : Can I own a printer ?;;
;https://youtu.be/dY4fAtKtaZY;;
;What the hell this is magic;;
;Ok Go always has the coolest videos. Like it's almost unfair how great their videos are.;;
;Jesus this song sucks. Apparently they care more about their videos than their actual music.;;
;Some people care more about fame than their music, but hey, that's life for ya;;
;Ok now I  have to go to office depot;;
;Howww;;
;For those who have never watched this brilliant band, welcome and happy binge watching all of their MVs. They're all are amazing.;;
;"I'm sure every recording artist thought ""dang wish I thought of this idea"" _";;
;Micheal L Nope.;;
;Kids in africa could have eaten that paper;;
;Waste of paper, ink, and electricity. Also sounds like shit...;;
;"Shared Care USA  _BLACK FRIDAY SALE - 50% OFF ALL ITEMS!!_
__ https://sharedcareusa.com/collections
__ https://sharedcareusa.com/collections";;
;This is brilliant.;;
;Do people care about there music;;
;I haven't watched these guys in years;;
;"but what about printers on treadmills, in ""zero-G""?";;
;Damn that was awesome!!!! That is why I love Ok Go!!;;
;1:44 By hand sign language coded “ITS OBSESSION”.;;
;1:44 By hand sign language coded “ITS OBSESSION”.;;
;Very simply for OK GO;;
;Just gave a dislike bye;;
;Diego Miranda .. so?;;
;Trashhhhhhh;;
;Hi i have some holiday giveaways in my channel! Come check them out!;;
;so they have an OBSESSION with paper!;;
;I used this video to test Firefox. It hurt my eyes too much to go past 40 seconds. Decent song though. And this new FF does seem faster than Chrome.;;
;"Did anybody else see the guy w the guitar  @ 1:18 slip and almost fall? 
The paper was getting revenge for all that paper used___";;
;All i kept thinking about was papercuts;;
;Hey guys I started a new channel and I would really appreciate if you guys checked it out it would mean a lot!;;
;Nice...but you're 'sposed to say if it's Spon' guys!!!;;
;For those that don’t know for the signal part he was spelling out obsession;;
;as always a fantastic video and and a bad repetitive mediocre song. If only you guys would spend the same amount of time on making the songs as much as you spend on videos ^^;;
;Anyone else counting the paper printed?;;
;I'm high and I'm trying to understand this video.;;
;Is that a Korg minilogue or a monologue?;;
;I made this video;;
;___ __ _______??;;
;what printer tho;;
;http://JobisMust.com/?refcode=12690;;
;________;;
;So, I'm totally a BTS stan...but I saw a kinda nasty comment from a OK Go fan on BTS MIC Drop remix stream. Not really into engaging in that kind of dialogue, but decided to come view OK Go's video. Gotta admit...pretty dope! Have checked out some of their other vids now too. Colorful, inventive, engaging all. Glad I didn't just react negatively to the hate, but decided to listen & explore instead. These guys deserve total props. I'm still all about my boys rising to #1 trending though...giggle...spreading the love for all!;;
;This makes me feel weird;;
;MysticalEffect Sub to my channel and I will sub back;;
;The best advertising video ever made.;;
;____ ______, _____ ______;;
;Will it be ok Google music soon;;
;Curious question, ise the kind of printer that print then pause then push the paper down really exist??;;
;__________!;;
;OK Amazing.;;
;best hewlett packard commercial?;;
;Another outstanding video !;;
;https://www.redbubble.com/people/Sandytheartist/shop hey there check out my shop i hope you find something you like and don't forget to share it with more people you know like to shop online;;
;It Makes me feel ánimos!;;
;daniel martinez Sub to my channel and I will sub back;;
;Whoa. Whooa. Whooooooaaaaa. What the.. Holycrap;;
;Juni Arina Sub to my channel and I will sub back;;
;I'm more impressed with the printers than I am the paper TBH.;;
;Jean-Luc Maske-Stockdale Sub to my channel and I will sub back;;
;"Everyone in the comments: wow what a waste of paper they should've recycled 
The video, literally in the beginning: all the paper is recycled";;
;BTS?;;
;GrandMasterAdieUK Sub to my channel and I will sub back;;
;Still dosent beat BTS...NOT EVEN CLOSE. HA!!!;;
;Its obsession.;;
;3047 Sub to my channel and I will sub back;;
;"I'm probably in a minority here just for thinking of this,
but 60 FPS would have made this more enjoyable. :3";;
;http://jobzipo.com/account.php;;
;I forgot this band existed;;
;Swedish Fish Sub to my channel and I will sub back;;
;Cool video, although I'm not happy about the donation to the science denying terrorist group.;;
;Don't Panic, Get Manic Sub to my channel and I will sub back;;
;ads getting smarter everyday;;
;maje one whith treadmils and you are gods;;
;"this is too incredible to be called just a "" music video""";;
;i've been mind fucked again! true artist. bravo!;;
;"The video is so amazing; but at x1 speed, it looks kind of unrealistic. If you really want to see just how much effort and paper they put into this video, set the video to x0.5 speed.";;
;Been watching them for years! Still never fail to impress!;;
;Wow, did you recycle the ink too? Sometimes I hate capitalism... Spend a shitload of money and resources to get more money. Except in this case the resources are just wasted.;;
;dunder mifflin is back in business;;
;I have more questions about the print margins than anything else;;
;http://IncomeDoze.com/?refer=51196;;
;Art and style will never die. There's always new-- from the things we borrowed, learned and experienced. Awesome video.;;
;YASS I LOVE IT ESPECIALLY WITH THE PAPER!!;;
;Yanina Robles Sub to my channel and I will sub back;;
;___ _______ ___________, ________, ________ ______;;
;Who are these people? Somebody tell me! I don't know how I ended up here but I like this song.;;
;need....more....paper!;;
;__________ ________;;
;http://jobzipo.com/account.php;;
;That's got to be green paper, otherwise AWESOME JOB!;;
;http://jobzipo.com/account.php;;
;music video? or subliminal msg targeted for people to go buy Double AA's paper? *insert thinking meme here*;;
;Smart. Green paper. Used as a green screen. Fooled all of you.;;
;M.                                                                   N.;;
;MY BOYS TRENDING!!!!!;;
;__ _______ :3;;
;______ _________, ____ __ __ __ ______-______ ________ ___ _________.;;
;They have the coolest music videos!;;
;Diosmio cuanto desperdicio de papel _;;
;_________ ____________ ________ ));;
;Holy cow, you're right. Difference between 1080 and 1440 is night and day. Watching this on a 1080 LCD TV. 1440 is nice and crisp.;;
;http://MoneyMyLife.com/?refcode=23934;;
;___ __ _______, ______ ____;;
;I can't believe my eyes!;;
;A crummy commercial?? Son of a BITCH!!;;
;yankstaspaz Be sure to drink your Printertine!;;
;_________, _ ____ _____ _______ __ ________);;
;Omg this was an ad?;;
;Thats why #Army is better;;
;More Cowbell! __;;
;It's a fuckin waste of paper if you ask me.;;
;How many trees die for paper in this video?;;
;people are now finding out about these crazy folks;;
;...and just when you think that they cannot surprise you anymore...;;
;Sounds like an ad for cologne. Obsession by Ralph Lauren;;
